date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url
5/18/2023,12,Classy 101,Feid & Young Miko,95,195986,single,1,3/31/2023,TRUE,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a
5/18/2023,13,Acróstico,Shakira,81,170785,single,1,5/11/2023,FALSE,https://i.scdn.co/image/ab67616d0000b273bd6bbd68940f38c764524b63
5/18/2023,14,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,221520,album,15,12/2/2022,TRUE,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
5/18/2023,15,See You Again (feat. Kali Uchis),"Tyler, The Creator",94,180386,album,14,7/21/2017,TRUE,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3
5/18/2023,16,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,3,3/24/2023,FALSE,https://i.scdn.co/image/ab67616d0000b2734d6cf0d0d5e32ca4fa3a59e1
5/18/2023,17,Die For You (with Ariana Grande) - Remix,The Weeknd,88,232857,album,21,3/14/2023,FALSE,https://i.scdn.co/image/ab67616d0000b2738ad8f5243d6534e03b656c8b
5/18/2023,18,PRC,Peso Pluma & Natanael Cano,96,184066,single,1,1/23/2023,TRUE,https://i.scdn.co/image/ab67616d0000b2737be314e2f66a9f7ee732395e
5/18/2023,19,Calm Down (with Selena Gomez),Rema,78,239317,album,22,4/27/2023,FALSE,https://i.scdn.co/image/ab67616d0000b273963265801aa5c9740ad159b7
5/18/2023,20,Yandel 150,Yandel,90,216148,album,17,1/13/2023,TRUE,https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700
5/18/2023,21,El Azul,Junior H & Peso Pluma,95,187225,single,1,2/10/2023,FALSE,https://i.scdn.co/image/ab67616d0000b27333ed356efed99b158c4267c6
5/18/2023,22,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,96,131013,single,2,2/3/2023,FALSE,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7
5/18/2023,23,Anti-Hero,Taylor Swift,94,200690,album,13,10/21/2022,FALSE,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5
5/18/2023,24,Die For You,The Weeknd,91,260253,album,18,11/24/2016,FALSE,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a
5/18/2023,25,I Wanna Be Yours,Arctic Monkeys,94,183956,album,12,9/9/2013,FALSE,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
5/18/2023,26,All My Life (feat. J. Cole),Lil Durk & J. Cole,84,223878,single,1,5/12/2023,TRUE,https://i.scdn.co/image/ab67616d0000b2737c173b0dc64913d4635e3594
5/18/2023,27,Last Night,Morgan Wallen,89,163854,album,36,3/3/2023,TRUE,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9
5/18/2023,28,I'm Good (Blue),David Guetta & Bebe Rexha,94,175238,single,2,8/26/2022,TRUE,https://i.scdn.co/image/ab67616d0000b273933c036cd61cd40d3f17a9c4
5/18/2023,29,AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,95,174942,single,1,11/24/2022,TRUE,https://i.scdn.co/image/ab67616d0000b273fbf10e7799f39fbcd301e55a
5/18/2023,30,Here With Me,d4vd,94,242484,single,1,9/22/2022,FALSE,https://i.scdn.co/image/ab67616d0000b273efbe96040319db682b438f11
5/18/2023,31,Angels Like You,Miley Cyrus,91,196453,album,15,11/27/2020,FALSE,https://i.scdn.co/image/ab67616d0000b2738cffb7c6c40759eaf8a5a142
5/18/2023,32,golden hour,JVKE,90,209259,album,12,9/23/2022,FALSE,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954
